epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.6233,4.04554,5.59299,4.15244,0,0,0,0,6.14786,48.8198,4.28748,0.000329502,0.000329502,0.000329502
2,73.6763,3.62631,3.83815,2.85484,0.86966,0.12894,0.1051,0.02452,3.06442,1.5025,1.516,0.000659554,0.000659554,0.000659554
3,107.68,2.91468,2.08333,1.82149,0.05997,0.16871,0.09487,0.02416,3.3848,2.87796,1.72398,0.000986307,0.000986307,0.000986307
4,142.391,2.6327,1.77281,1.60342,0.95764,0.20867,0.22965,0.07511,2.27265,1.00697,1.18176,0.00098515,0.00098515,0.00098515
5,175.808,2.50716,1.61993,1.50676,0.08933,0.2517,0.18127,0.06068,2.43718,2.57096,1.37251,0.0009802,0.0009802,0.0009802
6,208.825,2.44631,1.54584,1.44282,0.97224,0.22773,0.25047,0.08826,2.14336,0.95207,1.13867,0.00097525,0.00097525,0.00097525
7,243.27,2.38119,1.49458,1.40637,0.71494,0.24763,0.25772,0.09116,2.09926,0.91474,1.12431,0.0009703,0.0009703,0.0009703
8,276.798,2.32823,1.41882,1.34765,0.16579,0.37869,0.2033,0.06859,2.31856,2.08834,1.20442,0.00096535,0.00096535,0.00096535
9,313.24,2.30763,1.40412,1.37471,0.79738,0.33155,0.30212,0.09445,2.32605,0.98245,1.17955,0.0009604,0.0009604,0.0009604
10,346.343,2.29636,1.36273,1.35023,0.78334,0.29696,0.27492,0.09625,2.22383,0.99898,1.15789,0.00095545,0.00095545,0.00095545
11,379.255,2.28251,1.38515,1.3372,0.96766,0.22455,0.23364,0.07967,2.23762,0.97061,1.15829,0.0009505,0.0009505,0.0009505
12,414.348,2.25049,1.33025,1.31451,0.59603,0.30469,0.33176,0.11301,2.10542,0.8964,1.11573,0.00094555,0.00094555,0.00094555
13,447.327,2.23947,1.33005,1.29143,0.78182,0.23996,0.24812,0.09561,2.071,1.00515,1.11331,0.0009406,0.0009406,0.0009406
14,481.311,2.18963,1.27672,1.28849,0.64353,0.35484,0.37629,0.13287,2.02436,0.85934,1.0948,0.00093565,0.00093565,0.00093565
15,516.586,2.19368,1.27876,1.28155,0.84272,0.30157,0.31734,0.11277,2.07406,0.98566,1.1071,0.0009307,0.0009307,0.0009307
16,549.517,2.15627,1.23724,1.27933,0.8455,0.33178,0.32257,0.1312,2.0081,0.88745,1.08852,0.00092575,0.00092575,0.00092575
17,584,2.17577,1.22828,1.25754,0.66219,0.34285,0.3628,0.12833,2.09028,1.01059,1.11873,0.0009208,0.0009208,0.0009208
18,616.512,2.17172,1.27313,1.28081,0.85011,0.34298,0.3779,0.14634,2.04689,0.87481,1.09149,0.00091585,0.00091585,0.00091585
19,649.401,2.12977,1.20857,1.24474,0.71574,0.3514,0.3933,0.14609,2.06599,0.87055,1.10105,0.0009109,0.0009109,0.0009109
20,684.027,2.12574,1.20866,1.25675,0.50495,0.32001,0.29527,0.11059,2.02437,0.86823,1.09146,0.00090595,0.00090595,0.00090595
21,717.414,2.11237,1.20561,1.24245,0.91959,0.38134,0.41961,0.16359,1.96804,0.829,1.07187,0.000901,0.000901,0.000901
22,753.918,2.09552,1.19271,1.24331,0.41439,0.37668,0.42566,0.187,1.94459,0.8416,1.06511,0.00089605,0.00089605,0.00089605
23,787.854,2.06978,1.16792,1.22654,0.64054,0.38289,0.39863,0.14708,2.10426,0.92355,1.11088,0.0008911,0.0008911,0.0008911
24,823.3,2.06734,1.15065,1.22002,0.68347,0.42136,0.45636,0.18792,1.97141,0.81446,1.06671,0.00088615,0.00088615,0.00088615
25,856.234,2.04682,1.14547,1.21469,0.94248,0.42244,0.45836,0.20742,1.95855,0.82054,1.06642,0.0008812,0.0008812,0.0008812
26,889.53,2.06577,1.18406,1.24502,0.67756,0.43441,0.45454,0.20656,1.95855,0.83437,1.06626,0.00087625,0.00087625,0.00087625
27,923.599,2.02685,1.13975,1.21984,0.692,0.28284,0.39039,0.14911,2.16471,1.40331,1.14446,0.0008713,0.0008713,0.0008713
28,956.319,2.02129,1.13838,1.20539,0.66829,0.40902,0.44513,0.18753,1.91745,0.81418,1.05747,0.00086635,0.00086635,0.00086635
29,992.13,2.01175,1.13997,1.21005,0.18801,0.37213,0.18385,0.07346,2.24271,3.26191,1.21189,0.0008614,0.0008614,0.0008614
30,1025.16,2.01301,1.08871,1.18481,0.95388,0.43496,0.46393,0.19377,2.00282,0.80827,1.07704,0.00085645,0.00085645,0.00085645
31,1058.16,2.0329,1.14757,1.20679,0.92148,0.2483,0.39366,0.18996,2.14807,1.57198,1.13135,0.0008515,0.0008515,0.0008515
32,1092.65,2.02838,1.1221,1.19049,0.41071,0.38003,0.44156,0.20613,1.9474,0.82645,1.05647,0.00084655,0.00084655,0.00084655
33,1125.3,1.98936,1.1105,1.19776,0.43081,0.43603,0.45817,0.22812,1.8982,0.79168,1.0459,0.0008416,0.0008416,0.0008416
34,1159.5,1.99382,1.13243,1.19846,0.42039,0.41825,0.45293,0.20117,1.91982,0.81111,1.05107,0.00083665,0.00083665,0.00083665
35,1193.44,1.999,1.08196,1.17525,0.69411,0.42903,0.46054,0.23415,1.95664,0.80203,1.05927,0.0008317,0.0008317,0.0008317
36,1229.27,1.97042,1.06149,1.17909,0.43942,0.42134,0.45669,0.19484,1.95336,0.79062,1.05839,0.00082675,0.00082675,0.00082675
37,1262.23,1.95679,1.07002,1.17915,0.68571,0.4245,0.45625,0.20592,1.95997,0.82752,1.06056,0.0008218,0.0008218,0.0008218
38,1295.41,1.98213,1.06735,1.17201,0.67524,0.45284,0.46462,0.21827,1.95671,0.79526,1.05881,0.00081685,0.00081685,0.00081685
39,1329.4,1.95346,1.04531,1.16586,0.44102,0.45608,0.46832,0.22023,1.89697,0.77647,1.04375,0.0008119,0.0008119,0.0008119
